reaction,lower bound,upper bound
10FTHF5GLUtl,0.0,1000.0
10FTHF5GLUtm,0.0,1000.0
10FTHF6GLUtl,0.0,1000.0
10FTHF6GLUtm,0.0,1000.0
10FTHF7GLUtl,0.0,1000.0
10FTHF7GLUtm,0.0,1000.0
10FTHFtl,-1000.0,1000.0
10FTHFtm,-1000.0,1000.0
11DOCRTSLtm,-1000.0,1000.0
11DOCRTSLtr,-1000.0,1000.0
11DOCRTSTRNtm,-1000.0,1000.0
11DOCRTSTRNtr,-1000.0,1000.0
13DAMPPOX,0.0,3000.000078935189
1a_24_25VITD2Hm,0.0,1000.0329498729758
1a_24_25VITD3Hm,0.0,1000.0329498729758
1a_25VITD2Hm,0.0,1000.0329498729758
1a_25VITD3Hm,0.0,1000.0329498729758
1a25DHVITD3TRn,0.0,1000.0
1MNCAMti,0.0,1000.0
1PPDCRp,0.0,1000.0
24_25DHVITD2t,0.0,1000.0
24_25DHVITD2tm,0.0,1000.0
24_25DHVITD3t,0.0,1000.0
24_25DHVITD3tm,0.0,1000.0
24_25VITD2Hm,0.0,1000.0329498729758
24_25VITD3Hm,0.0,1000.0329498729758
24NPHte,-1000.0,1000.0
25HVITD2t,-1000.0,1000.0
25HVITD2tm,-1000.0,1000.0
25HVITD3c,0.0,1000.0329498729758
25HVITD3t,-1000.0017976940395,1000.0017976940395
25HVITD3tm,-1000.0,1000.0
25VITD2Hm,0.0,1000.0329498729758
25VITD3Hm,0.0,1000.0329498729758
2AMACHYD,0.0,2000.0
2AMACSULT,0.0,1000.0
2AMADPTm,-1000.0,1000.0
2AOBUTtm,-1000.0,1000.0
2DR1PP,0.0,1000.0
2HBO,-3000.4015630071153,3000.4015630071153
2HBt2,-3000.096693716066,3000.096693716066
2MB2COAc,-0.06962520713100569,0.06962520713100569
2MCITt,-1000.0,1000.0
2OXOADPTm,-1000.0,1000.0
34DHOXPEGOX,-4000.1181016452383,4000.1181016452383
34DHOXPEGt,-1000.0,1000.0
34DHPHAMT,0.0,0.17099228322448048
34DHPHELAT1tc,0.0,1000.0
34DHPHEt,-1000.0,1000.0
34DHPLACOX,0.0,4000.002000801212
34DHPLACOXy,0.0,3000.002000801212
34DHXMANDACOX,0.0,4000.002000801212
34DHXMANDACOXy,0.0,3000.002000801212
34HPLFM,0.0,1000.0
34HPPOR,0.0,1000.0
34HPPte,-1000.0,1000.0
35CGMPtn,-1000.0,1000.0
3AIB_Dtm,-1000.0,1000.0
3AIBt,0.0,1000.0
3AIBt1m,0.0,1000.0
3AIBTm,-1000.0,1000.0
3DPHBH1,0.0,0.0073646903878174744
3DPHBH2,0.0,0.0073646903878174744
3DSPHR,0.0,0.010197833906105975
3HAO,0.0,1000.0
3HBCOAHLm,0.0,0.008522462840551607
3HCO3_NAt,-1000.0,1000.0
3HKYNAKGAT,0.0,0.007404863710200493
3HLYTCL,0.0,1000.0
3HXKYNDCL,0.0,1000.0
3HXKYNOXDA,0.0,0.00648022223214797
3M4HDXPAC,-4000.002000801212,4000.002000801212
3MLDAt,-1000.0,1000.0
3MOBt2im,-1000.0,1000.0
3MOBte,-1000.0,1000.0
3MOPt2im,-1000.0,1000.0
