coefficients,accuracy,fluxes
"[0.17634108455767347, 0.07736111517252198, -0.24789193919487004, -0.31092124800550835, -0.1874846130694261]",0.0,{'r_2111': 0.0}
"[0.13262027036401408, 0.036456858180674366, -0.2839482884124217, 0.3217146841858161, -0.22525989885707376]",0.0,{'r_2111': 0.0}
"[0.015969568485656248, -0.10613267846933636, -0.34817341038081034, 0.2560697556564862, -0.27365458700771084]",0.0,{'r_2111': 0.0}
"[0.35168465825797895, 0.21009922204355397, -0.07056262686295542, -0.14059755237133117, 0.22705594046418043]",0.0,{'r_2111': 0.0}
"[-0.32662532833936464, 0.27297258241966504, 0.11215502942155813, -0.001980100155470484, 0.28626695966394167]",0.0,{'r_2111': 0.0}
"[0.37895812802338086, 0.1528981478946105, -0.07301265139016537, -0.2245786294289872, 0.17055244326285607]",0.0,{'r_2111': 0.0}
"[0.40443385446355834, 0.1466261208949245, -0.07001760320192031, -0.2153662011116607, 0.16355622032793615]",0.0,{'r_2111': 0.0}
"[0.3486115451126033, -0.2644137396752915, -0.06035336697932634, -0.18564010729060448, 0.14098124094217435]",0.0,{'r_2111': 0.0}
"[0.3292121084212478, -0.24969971865370288, 0.11264255712545851, -0.17530965909045304, 0.13313595670913775]",0.0,{'r_2111': 0.0}
"[0.3289098585787155, -0.2494704691859194, 0.11253913992334866, 0.17606680780795678, 0.13301372450405968]",0.0,{'r_2111': 0.0}
"[0.2830282057349169, -0.21467030384144214, 0.09684036527543999, 0.1515061692546822, -0.2539549558935188]",0.0,{'r_2111': 0.0}
"[0.17634108455767347, 0.07736111517252198, -0.24789193919487004, -0.31092124800550835, -0.1874846130694261]",0.0,{'r_2111': 0.0}
"[0.17634108738460147, 0.07736111490700637, -0.24789193834406562, -0.3109212469383773, -0.1874846124259492]",0.0,{'r_2111': 0.0}
"[0.17634108395244294, 0.07736111833916488, -0.24789193834406562, -0.3109212469383773, -0.1874846124259492]",0.0,{'r_2111': 0.0}
"[0.17634108516290403, 0.07736111543803759, -0.2478919366135159, -0.31092124907263935, -0.187484613712903]",0.0,{'r_2111': 0.0}
"[0.17634108516290403, 0.07736111543803759, -0.24789194004567447, -0.3109212456404808, -0.187484613712903]",0.0,{'r_2111': 0.0}
"[0.17634108516290406, 0.0773611154380376, -0.2478919400456745, -0.3109212490726394, -0.18748461028074448]",0.0,{'r_2111': 0.0}
"[-0.18929393884233375, -0.132273818071372, 0.3759411594548731, 0.28177522762426366, -0.020715856007157512]",0.0,{'r_2111': 0.0}
"[-0.0977460800870488, -0.03288293079421637, -0.3372334202562072, 0.4381179142125492, 0.09401965464997844]",0.0,{'r_2111': 0.0}
"[0.19218548244419847, 0.3219772882936893, 0.03698492237514082, -0.06332015767398683, -0.38553214921298457]",0.0,{'r_2111': 0.0}
"[-0.14151596093332955, -0.037851933114483684, -0.2654738261560081, 0.3144067544076427, -0.24075152538853592]",0.0,{'r_2111': 0.0}
"[-0.30945423770845515, 0.11966623138168084, 0.277991570167651, 0.1901949688049772, -0.10269299193723576]",0.0,{'r_2111': 0.0}
"[-0.3112663532209294, 0.11935220580068752, 0.27726207059767877, 0.18969586321026277, -0.10242350717044156]",0.0,{'r_2111': 0.0}
"[-0.27580366234100884, 0.2196847350850451, 0.24567350022832266, 0.16808374327306388, -0.0907543590725595]",0.0,{'r_2111': 0.0}
"[-0.3404991745196132, 0.27121638021807914, 0.06873045734630537, 0.2075112975254174, -0.11204269039058493]",0.0,{'r_2111': 0.0}
"[-0.3237020237663144, 0.2578370161367584, 0.06533991798591533, -0.24660552506512304, -0.10651551704588881]",0.0,{'r_2111': 0.0}
"[-0.2627198369429166, 0.20926313048385234, 0.05303053839266601, -0.2001475387163568, 0.2748389554642082]",0.0,{'r_2111': 0.0}
"[0.2773496025063077, 0.10563736150367878, -0.09032460949501879, -0.33879954665565426, 0.1878888798393405]",0.0,{'r_2111': 0.0}
"[-0.09898395000250489, -0.29122793830561317, 0.3444159059880011, 0.2085974488450828, -0.05677475685879807]",0.0,{'r_2111': 0.0}
"[-0.004104336950312103, -0.40743316130334317, 0.2951458281712847, 0.14502529456340227, -0.14829137901165773]",0.0,{'r_2111': 0.0}
