coefficients,accuracy,fluxes
"[-0.3555246159779458, -0.10262082805205656, -0.03046676884056842, -0.1482863980693727, 0.3631013890600566]",0.33333333333333337,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 0.0}"
"[-0.33774175170810633, -0.05541501251387326, 0.1887319109845978, -0.10639333684073196, -0.3117179879526907]",0.33333333333333337,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 0.0}"
"[-0.1953088163237358, 0.08141247784096815, 0.32071199594416844, 0.2327649695389696, -0.169801740352158]",0.33333333333333337,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 0.0}"
"[0.10341660394597971, 0.2885442303555981, -0.20861902305435207, -0.2763574997711824, 0.1230626428728877]",0.33333333333333337,"{'r_2111': 0.0, 'r_1714': -0.034104196440665646, 'r_1761': 0.0}"
"[0.28978010865928716, 0.2782842526725713, -0.026755416586205855, -0.2947639840839902, 0.11041623799794553]",0.33333333333333337,"{'r_2111': 0.0, 'r_1714': -0.034104196440665646, 'r_1761': 0.0}"
"[0.29210897764887234, 0.282577456084518, -0.1732470469996799, -0.1925521586542265, -0.0595143606127032]",0.33333333333333337,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 0.0}"
"[0.1045547391872671, 0.3574457591268769, -0.2191484879556999, -0.24356844836586297, -0.07528256536429313]",0.33333333333333337,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 0.0}"
"[0.13335941114594016, -0.1804230409997341, -0.2795235637760019, -0.3106711862158953, -0.09602279786242852]",0.33333333333333337,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 0.0}"
"[0.168017135357519, -0.22731176030834155, 0.09228463243229046, -0.39140906740353526, -0.12097740449831378]",0.33333333333333337,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 0.0}"
"[0.14603587556306413, -0.19757313366743148, 0.08021126577112526, -0.47102949046030645, -0.10515023453807268]",0.33333333333333337,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 0.0}"
"[0.14952524421701946, -0.202293929135153, 0.08212782685857514, -0.48228422860436587, 0.08376877118488653]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0}"
"[0.14952524421701946, -0.202293929135153, 0.08212782685857514, -0.48228422860436587, 0.08376877118488653]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0}"
"[0.14952524880748883, -0.20229392804326396, 0.08212782641528713, -0.4822842260012187, 0.08376877073274146]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0}"
"[0.14952524502408757, -0.20229392482950453, 0.08212782730186317, -0.48228423120751307, 0.08376877163703161]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0}"
"[0.14952524340995135, -0.20229392804326396, 0.0821278318128246, -0.4822842260012187, 0.08376877073274146]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0}"
"[0.14952524502408757, -0.2022939302270421, 0.08212782730186317, -0.4822842258099755, 0.08376877163703161]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0}"
"[0.14952524340995135, -0.20229392804326396, 0.08212782641528713, -0.4822842260012187, 0.08376877613027893]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0}"
"[0.3221105640688143, 0.04229921947988676, 0.2797412062137358, -0.07507622750440067, 0.2807727827331625]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 1.9999999999009033}"
"[-0.21300883698635883, -0.053000185307225584, 0.2510099237150205, -0.12151331379478963, 0.36146774019660544]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0000000000032774}"
"[-0.3615939234688801, -0.23179513949074618, 0.2743931529016084, -0.027797149271150356, 0.10442063486761498]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0}"
"[0.42881639784236003, -0.24991010039291076, 0.14304074889296128, -0.17051889451271704, 0.007713858359050899]",0.6666666666666667,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0000000000204636}"
"[0.34991036074632065, -0.20392441572343803, -0.3007288848828169, -0.13914189894142748, 0.006294439705996916]",0.6666666666666667,"{'r_2111': 0.08374770604071564, 'r_1714': -1.0, 'r_1761': 0.0}"
"[0.32212135872452163, -0.18772925079963862, -0.27684575215077234, -0.20750908721151734, 0.005794551113550087]",0.6666666666666667,"{'r_2111': 0.08374770604149333, 'r_1714': -1.0, 'r_1761': 0.0}"
