coefficients,accuracy,fluxes
"[0.37439105210017665, 0.39839217288466167, 0.1657544797049148, -0.061462295310246884]",0.19999999999999996,"{'r_2111': 0.0, 'r_1714': -0.03410419644026774, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': 0.0}"
"[-0.08062869715759875, -0.29898027347023554, 0.2967326485025089, 0.3236583808696568]",0.4,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0, 'r_1808': 0.0, 'r_1654': 0.0}"
"[0.05464295457076502, -0.1827140688357076, -0.4209291418296899, -0.34171383476383754]",0.6,"{'r_2111': 0.08374770604149229, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.1914290350995142, -0.21761175413134667, 0.26590571148821035, 0.3250534992809288]",0.6,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 1.1193548386971672, 'r_1808': 0.7548387096865099, 'r_1654': 5.4569682106375694e-12}"
"[0.05464295457076502, -0.1827140688357076, -0.4209291418296899, -0.34171383476383754]",0.6,"{'r_2111': 0.08374770604110772, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436347465}"
"[0.05464295875765295, -0.182714068026486, -0.4209291399654385, -0.34171383325042254]",0.6,"{'r_2111': 0.08374770604049632, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436321317}"
"[0.054642954812772974, -0.18271406521603326, -0.42092914369394124, -0.34171383627725255]",0.6,"{'r_2111': 0.08374770604049632, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436321317}"
"[0.054642954812772974, -0.18271406964492917, -0.42092913926504527, -0.34171383627725255]",0.6,"{'r_2111': 0.08374770604049632, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436321317}"
"[0.054642954812772974, -0.18271406964492917, -0.42092914369394124, -0.3417138318483566]",0.6,"{'r_2111': 0.08374770604049632, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436321317}"
"[0.16424933396444522, -0.24722507875773336, -0.34553936782989597, -0.24298621944792542]",0.6,"{'r_2111': 0.0837477060413243, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436370202}"
"[-0.003288860615796575, -0.40219983862274855, 0.2730129004353023, 0.32149840032615257]",0.6,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 1.119354838709115, 'r_1808': 0.7548387096762781, 'r_1654': -1.1368683772161603e-12}"
"[0.04454302563857824, -0.2972381081805706, -0.5527707400868919, -0.10544812609395929]",0.6,"{'r_2111': 0.08374770604160389, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436379297}"
"[0.0894709712131775, -0.3515601016523246, 0.24427381617271718, 0.3146951109617807]",0.6,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 1.1193548387104784, 'r_1808': 0.7548387096767328, 'r_1654': 0.0}"
"[0.3174209820862478, -0.0003152647398464354, -0.1432231910267619, -0.5390405621471439]",0.6,"{'r_2111': 0.08374770604153017, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436366792}"
"[0.14924576505562673, -0.4543033505184302, -0.18551875391356912, -0.21093213051237397]",0.6,"{'r_2111': 0.0837477060414914, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.20761914232265488, -0.4231319266403919, -0.17278962984048846, -0.19645930119646476]",0.6,"{'r_2111': 0.08374770604153038, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436366792}"
"[0.2123754689355798, -0.40991651240270566, -0.17674805056053244, -0.20095996810118213]",0.6,"{'r_2111': 0.08374770604148994, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436379297}"
"[0.2197846463862082, -0.298195519442442, -0.3884189127612591, -0.09360092141009066]",0.6,"{'r_2111': 0.0837477060409167, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436346328}"
